event_id,waveform_file,station,datetime,s_arrival_time,p_arrival_time,latitude,longitude,depth,back_azimuth,magnitude,snr_horizontal,rectilinearity_jurkevics,incidence_p_jurkevics,incidence_eigenvalue_s,incidence_pykonal_s
52,waveforms/event_2015-01-22T20-29-11.226000Z.mseed,AXEC2,2015-01-22T20:29:11.226000Z,1.584,0.844,45.934238,-130.020599,1.005,261.27147108394445,0.0,3.6415518171988417,0.9304020711667798,20.4816943839297,4.132620038037534,13.88249157829773
53,waveforms/event_2015-01-22T22-17-04.304000Z.mseed,AXEC2,2015-01-22T22:17:04.304000Z,1.476,0.696,45.952133,-129.999298,0.276,305.726492317272,0.0,2.5905386224292055,0.754616176846533,3.915508437659502,3.539907379342047,14.360822334094344
54,waveforms/event_2015-01-22T23-13-29.640000Z.mseed,AXEC2,2015-01-22T23:13:29.640000Z,1.59,0.85,45.94051,-130.010437,0.425,272.5952092807562,0.0,5.668385992234284,0.9577494874555132,12.451210459947335,5.606104889854623,14.52147268191974
55,waveforms/event_2015-01-22T23-22-32.518000Z.mseed,AXEC2,2015-01-22T23:22:32.518000Z,1.602,0.882,45.941387,-130.011093,0.418,274.4888221430998,0.0,5.241111069070151,0.9286733397618522,12.245723516255806,4.4103895254407615,14.829978113180784
56,waveforms/event_2015-01-23T00-21-43.791000Z.mseed,AXEC2,2015-01-23T00:21:43.791000Z,1.469,-0.121,45.962051,-129.996033,1.67,325.9887824379707,0.0,3.5964320351338177,0.7982867678189076,43.05814094814315,3.3204928430526843,15.026665806955137
57,waveforms/event_2015-01-23T00-33-02.231000Z.mseed,AXEC2,2015-01-23T00:33:02.231000Z,0.859,0.439,45.945389,-129.988525,0.867,299.81030946316923,0.0,3.1278395081987074,0.953870013123209,8.644062647957064,4.445982063317868,17.766354857671036
58,waveforms/event_2015-01-23T00-42-22.675000Z.mseed,AXEC2,2015-01-23T00:42:22.675000Z,1.275,0.635,45.949883,-129.99588,0.435,304.2536157968908,0.0,5.507187642543649,0.9443660051489728,9.720232308247198,2.706940957347849,18.123608293665615
59,waveforms/event_2015-01-23T00-48-13.451000Z.mseed,AXEC2,2015-01-23T00:48:13.451000Z,1.409,0.669,45.949493,-129.996979,0.185,301.9859694783786,0.0,5.634894156001295,0.9794463977282815,1.9770323052970955,3.116403751925005,16.86224239458566
60,waveforms/event_2015-01-23T01-10-19.624000Z.mseed,AXEC2,2015-01-23T01:10:19.624000Z,1.716,0.946,45.941048,-130.018494,0.752,273.2462764068064,0.0,3.6856016262295856,0.8825962614284053,9.204006978894546,1.639013760289605,14.65356023269302
61,waveforms/event_2015-01-23T01-13-24.700000Z.mseed,AXEC2,2015-01-23T01:13:24.700000Z,1.6,0.9,45.942135,-130.012573,0.474,275.9204858130506,0.0,3.2683354395868585,0.9403659754472679,14.524907773512043,7.286406607124905,15.551286976583935
62,waveforms/event_2015-01-23T01-37-49.416000Z.mseed,AXEC2,2015-01-23T01:37:49.416000Z,1.664,0.894,45.939896,-130.020294,1.098,271.1157042549654,0.0,5.946275774757582,0.9833781262620365,10.380965886282041,4.584252946575677,14.70795315255033
63,waveforms/event_2015-01-23T01-45-54.151000Z.mseed,AXEC2,2015-01-23T01:45:54.151000Z,1.639,0.859,45.941219,-130.012207,0.456,274.02210978726805,0.0,5.023114090371803,0.7850951206553698,20.783023394806555,3.79060389037893,14.948331419387625
64,waveforms/event_2015-01-23T01-58-53.841000Z.mseed,AXEC2,2015-01-23T01:58:53.841000Z,0.939,0.489,45.945194,-129.985687,1.624,304.3720833158886,0.0,2.7629685642068016,0.956414476268327,3.1834235071029098,4.143867921972964,15.907967540886283
65,waveforms/event_2015-01-23T02-09-14.350000Z.mseed,AXEC2,2015-01-23T02:09:14.350000Z,1.45,0.7,45.949848,-129.997604,0.121,302.212885411747,0.0,6.863381748041757,0.975039049732261,9.595808068558929,0.25806719936638345,18.51765221658651
66,waveforms/event_2015-01-23T02-11-35.791000Z.mseed,AXEC2,2015-01-23T02:11:35.791000Z,1.449,0.689,45.949821,-129.997528,0.11,302.2266776050143,0.0,7.701816265277401,0.9774732856584945,7.256919172626702,0.3933485803974063,19.21768675818467
67,waveforms/event_2015-01-23T02-35-11.520000Z.mseed,AXEC2,2015-01-23T02:35:11.520000Z,1.73,0.91,45.938828,-130.007339,0.074,268.6510577292473,0.0,4.885203352312701,0.8797510127357036,15.833561693554037,3.3728837140821426,19.41330718523942
